id,name,target_type,main_effect,effect_params,min_val,max_val,scaling_stat,hit_count,cooldown_turns,max_charges,combat_text,description,type,weight_class,hp_threshold,trigger_interval,available_from_turn,requires_prepare,ai_weight
ABILITY_PIPE_SWING,ABILITY_PIPE_SWING_NAME,player,damage,,1,3,STRENGTH,1,0,-1,ABILITY_PIPE_SWING_TEXT,ABILITY_PIPE_SWING_DESC,DAMAGE,STANDARD,0,0,1,0,1.0
ABILITY_GUARD,ABILITY_GUARD_NAME,self,shield,,0,1,AGILITY,1,1,-1,ABILITY_GUARD_TEXT,ABILITY_GUARD_DESC,BLOCK,LIGHT,0,0,1,0,0.85
ABILITY_SIGNAL_SPIKE,ABILITY_SIGNAL_SPIKE_NAME,player,damage,,1,3,INTELLIGENCE,1,0,-1,ABILITY_SIGNAL_SPIKE_TEXT,ABILITY_SIGNAL_SPIKE_DESC,DAMAGE,STANDARD,0,0,1,0,1.0
ABILITY_REPAIR_PULSE,ABILITY_REPAIR_PULSE_NAME,all_allies,heal,,3,4,INTELLIGENCE,1,2,-1,ABILITY_REPAIR_PULSE_TEXT,ABILITY_REPAIR_PULSE_DESC,HEAL,LIGHT,0,0,1,0,0.7
ABILITY_ENEMY_STUDY,ABILITY_ENEMY_STUDY_NAME,self,modify_stat,luck|+1,0,0,LUCK,0,0,-1,ABILITY_ENEMY_STUDY_TEXT,ABILITY_ENEMY_STUDY_DESC,PRE_ACTION,LIGHT,0,2,1,0,0
ABILITY_DESPERATE_ATTACK,ABILITY_DESPERATE_ATTACK_NAME,player,damage,,1,3,NONE,3,1,-1,ABILITY_DESPERATE_ATTACK_TEXT,ABILITY_DESPERATE_ATTACK_DESC,MULTI_HIT,HEAVY,0.4,0,1,0,0
ABILITY_SLAVER_SUMMON,ABILITY_SLAVER_SUMMON_NAME,self,summon,slaver_minion|2,0,0,NONE,0,1,-1,ABILITY_SLAVER_SUMMON_TEXT,ABILITY_SLAVER_SUMMON_DESC,SPECIAL,HEAVY,0,0,1,0,1.4
ABILITY_SLAVER_BRAND,ABILITY_SLAVER_BRAND_NAME,all_allies,brand_stim,3,0,0,NONE,0,1,-1,ABILITY_SLAVER_BRAND_TEXT,ABILITY_SLAVER_BRAND_DESC,SPECIAL,STANDARD,0,0,1,0,0.9
ABILITY_SLAVER_DOUBLE,ABILITY_SLAVER_DOUBLE_NAME,player,damage,,2,4,STRENGTH,2,0,-1,ABILITY_SLAVER_DOUBLE_TEXT,ABILITY_SLAVER_DOUBLE_DESC,DAMAGE,STANDARD,0,0,1,0,1.1
ABILITY_SLAVER_STIMS,ABILITY_SLAVER_STIMS_NAME,self,ally_buff,strength|+2,0,0,STRENGTH,0,0,-1,ABILITY_SLAVER_STIMS_TEXT,ABILITY_SLAVER_STIMS_DESC,PRE_ACTION,LIGHT,0,3,1,0,0
ABILITY_SLAVER_ARMOR,ABILITY_SLAVER_ARMOR_NAME,self,shield,,2,4,AGILITY,1,1,-1,ABILITY_SLAVER_ARMOR_TEXT,ABILITY_SLAVER_ARMOR_DESC,BLOCK,LIGHT,0,0,1,0,0.8
ABILITY_MINION_LUNGE,ABILITY_MINION_LUNGE_NAME,player,damage,,1,2,STRENGTH,1,0,-1,ABILITY_MINION_LUNGE_TEXT,ABILITY_MINION_LUNGE_DESC,DAMAGE,STANDARD,0,0,1,0,1.0
ABILITY_DESERTER_AIM,ABILITY_DESERTER_AIM_NAME,player,status,vulnerability|2,0,0,NONE,0,99,-1,ABILITY_DESERTER_AIM_TEXT,ABILITY_DESERTER_AIM_DESC,SPECIAL,LIGHT,0,0,1,0,1.2
ABILITY_DESERTER_SNIPE,ABILITY_DESERTER_SNIPE_NAME,player,damage,,10,14,INTELLIGENCE,1,0,-1,ABILITY_DESERTER_SNIPE_TEXT,ABILITY_DESERTER_SNIPE_DESC,DAMAGE,HEAVY,0,0,1,0,1.0
ABILITY_DESERTER_EVASION,ABILITY_DESERTER_EVASION_NAME,self,status,evasion|2,0,0,NONE,0,1,-1,ABILITY_DESERTER_EVASION_TEXT,ABILITY_DESERTER_EVASION_DESC,SPECIAL,LIGHT,0,0,1,0,0.9
ABILITY_DESERTER_SHIELD,ABILITY_DESERTER_SHIELD_NAME,self,shield,,2,4,AGILITY,1,1,-1,ABILITY_DESERTER_SHIELD_TEXT,ABILITY_DESERTER_SHIELD_DESC,BLOCK,LIGHT,0,0,1,0,0.85
ABILITY_THIEF_STEAL,ABILITY_THIEF_STEAL_NAME,player,steal_chips,4,1,2,STRENGTH,1,0,-1,ABILITY_THIEF_STEAL_TEXT,ABILITY_THIEF_STEAL_DESC,SPECIAL,STANDARD,0,0,1,0,1.2
ABILITY_THIEF_STAB,ABILITY_THIEF_STAB_NAME,player,damage,bleed|1,2,4,STRENGTH,1,0,-1,ABILITY_THIEF_STAB_TEXT,ABILITY_THIEF_STAB_DESC,DAMAGE,STANDARD,0,0,1,0,1.0
ABILITY_THIEF_SCOUT,ABILITY_THIEF_SCOUT_NAME,self,status,fleeing|1,0,0,NONE,0,0,-1,ABILITY_THIEF_SCOUT_TEXT,ABILITY_THIEF_SCOUT_DESC,SPECIAL,LIGHT,0,0,1,0,0
ABILITY_THIEF_FLEE,ABILITY_THIEF_FLEE_NAME,self,flee,,0,0,NONE,0,0,-1,ABILITY_THIEF_FLEE_TEXT,ABILITY_THIEF_FLEE_DESC,SPECIAL,LIGHT,0,0,1,0,0
ABILITY_SCRAPPER_PREBUFF,ABILITY_SCRAPPER_PREBUFF_NAME,self,modify_stat,strength|+2,0,0,STRENGTH,0,0,-1,ABILITY_SCRAPPER_PREBUFF_TEXT,ABILITY_SCRAPPER_PREBUFF_DESC,PRE_ACTION,LIGHT,0,3,1,0,0
ABILITY_PREPARE_SLAM,ABILITY_PREPARE_SLAM_NAME,self,modify_stat,strength|+1|ABILITY_SCRAPPER_BUMPER,0,0,STRENGTH,0,1,-1,ABILITY_PREPARE_SLAM_TEXT,ABILITY_PREPARE_SLAM_DESC,SPECIAL,LIGHT,0,0,1,0,1.05
ABILITY_SCRAPPER_SHIELD,ABILITY_SCRAPPER_SHIELD_NAME,self,shield,,3,6,AGILITY,1,1,-1,ABILITY_SCRAPPER_SHIELD_TEXT,ABILITY_SCRAPPER_SHIELD_DESC,BLOCK,LIGHT,0,0,1,0,1.0
ABILITY_SCRAPPER_BUMPER,ABILITY_SCRAPPER_BUMPER_NAME,player,damage,slow|1,9,12,STRENGTH,1,0,-1,ABILITY_SCRAPPER_BUMPER_TEXT,ABILITY_SCRAPPER_BUMPER_DESC,DAMAGE,HEAVY,0,0,1,1,1.15
ABILITY_SCRAPPER_EXHAUST,ABILITY_SCRAPPER_EXHAUST_NAME,player,damage,burn|2,1,3,STRENGTH,1,1,-1,ABILITY_SCRAPPER_EXHAUST_TEXT,ABILITY_SCRAPPER_EXHAUST_DESC,DAMAGE,STANDARD,0,0,1,0,0.85
ABILITY_FACELESS_TEETH,ABILITY_FACELESS_TEETH_NAME,player,status,panic|2|bleed|3,0,0,NONE,0,0,-1,ABILITY_FACELESS_TEETH_TEXT,ABILITY_FACELESS_TEETH_DESC,SPECIAL,STANDARD,0,0,1,0,1.2
ABILITY_FACELESS_GRIP,ABILITY_FACELESS_GRIP_NAME,player,damage,healing_curse|2,5,8,STRENGTH,1,0,-1,ABILITY_FACELESS_GRIP_TEXT,ABILITY_FACELESS_GRIP_DESC,DAMAGE,HEAVY,0,0,1,0,1.0
ABILITY_FACELESS_INJECT,ABILITY_FACELESS_INJECT_NAME,player,force_insert,SLIMY_PARASITE,0,0,NONE,1,3,-1,ABILITY_FACELESS_INJECT_TEXT,ABILITY_FACELESS_INJECT_DESC,SPECIAL,STANDARD,0,0,2,0,1.4
ABILITY_MEDIC_SWING,ABILITY_MEDIC_SWING_NAME,player,damage,,2,3,STRENGTH,1,0,-1,ABILITY_MEDIC_SWING_TEXT,ABILITY_MEDIC_SWING_DESC,DAMAGE,STANDARD,0,0,1,0,0.9
ABILITY_BUFF_STRENGTH,ABILITY_BUFF_STRENGTH_NAME,all_allies,ally_buff,strength|INTELLIGENCE,0,0,INTELLIGENCE,0,3,-1,ABILITY_BUFF_STRENGTH_TEXT,ABILITY_BUFF_STRENGTH_DESC,SPECIAL,STANDARD,0,0,3,0,1.1
