id,name,description,base_hp,str,agi,end,int,lck,abilities,traits,sprite_path,exp_reward,faction,combat_tier,role,threat_level,power_rating
desperate_rebel,ENEMY_DESPERATE_REBEL_NAME,ENEMY_DESPERATE_REBEL_DESC,8,4,2,1,1,1,"ABILITY_PIPE_SWING,ABILITY_GUARD,ABILITY_ENEMY_STUDY",,res://assets/sprites/enemies/human/desperate_rebel.png,15,human,normal,damage,10,3
corrupted_synthet,ENEMY_CORRUPTED_SYNTHET_NAME,ENEMY_CORRUPTED_SYNTHET_DESC,12,3,2,1,3,2,"ABILITY_SIGNAL_SPIKE,ABILITY_REPAIR_PULSE,ABILITY_DESPERATE_ATTACK",,res://assets/sprites/enemies/synthet/corrupted_synthet.png,20,synthet,normal,damage,12,5
scrap_drone,ENEMY_SCRAP_DRONE_NAME,ENEMY_SCRAP_DRONE_DESC,4,2,2,1,1,1,"ABILITY_SIGNAL_SPIKE",,res://assets/sprites/enemies/synthet/scrap_drone.png,8,synthet,normal,minion,5,2
field_medic,ENEMY_FIELD_MEDIC_NAME,ENEMY_FIELD_MEDIC_DESC,6,1,2,1,3,1,"ABILITY_REPAIR_PULSE,ABILITY_GUARD,ABILITY_MEDIC_SWING,ABILITY_BUFF_STRENGTH",,res://assets/sprites/enemies/human/field_medic.png,10,human,normal,support,8,3
rebel_warlord,ENEMY_REBEL_WARLORD_NAME,ENEMY_REBEL_WARLORD_DESC,18,5,3,2,2,2,"ABILITY_PIPE_SWING,ABILITY_GUARD,ABILITY_ENEMY_STUDY",,res://assets/sprites/enemies/human/rebel_warlord.png,40,human,boss,boss,40,12
synthet_overseer,ENEMY_SYNTHET_OVERSEER_NAME,ENEMY_SYNTHET_OVERSEER_DESC,20,4,2,2,4,2,"ABILITY_SIGNAL_SPIKE,ABILITY_DESPERATE_ATTACK,ABILITY_REPAIR_PULSE",,res://assets/sprites/enemies/synthet/synthet_overseer.png,45,synthet,boss,boss,45,14
slaver_master,ENEMY_SLAVER_MASTER_NAME,ENEMY_SLAVER_MASTER_DESC,22,5,3,3,2,2,"ABILITY_SLAVER_SUMMON,ABILITY_SLAVER_BRAND,ABILITY_SLAVER_DOUBLE,ABILITY_SLAVER_STIMS,ABILITY_SLAVER_ARMOR",,res://assets/sprites/enemies/human/slaver_master.png,35,human,normal,damage,24,8
slaver_minion,ENEMY_SLAVER_MINION_NAME,ENEMY_SLAVER_MINION_DESC,8,3,2,2,1,1,"ABILITY_MINION_LUNGE",summoned_creature,res://assets/sprites/enemies/human/slaver_minion.png,0,human,normal,minion,6,2
corp_deserter,ENEMY_CORP_DESERTER_NAME,ENEMY_CORP_DESERTER_DESC,14,2,4,2,5,3,"ABILITY_DESERTER_AIM,ABILITY_DESERTER_SNIPE,ABILITY_DESERTER_EVASION,ABILITY_DESERTER_SHIELD",,res://assets/sprites/enemies/human/corp_deserter.png,28,human,normal,damage,20,7
pocket_thief,ENEMY_POCKET_THIEF_NAME,ENEMY_POCKET_THIEF_DESC,10,2,5,1,4,4,"ABILITY_THIEF_STEAL,ABILITY_THIEF_STAB,ABILITY_THIEF_SCOUT,ABILITY_THIEF_FLEE",,res://assets/sprites/enemies/human/pocket_thief.png,18,human,normal,damage,12,4
scrapper_tank,ENEMY_SCRAPPER_TANK_NAME,ENEMY_SCRAPPER_TANK_DESC,26,6,2,5,1,1,"ABILITY_SCRAPPER_PREBUFF,ABILITY_PREPARE_SLAM,ABILITY_SCRAPPER_SHIELD,ABILITY_SCRAPPER_BUMPER,ABILITY_SCRAPPER_EXHAUST",,res://assets/sprites/enemies/human/scrapper_tank.png,30,human,normal,damage,22,10
faceless_lady,ENEMY_FACELESS_LADY_NAME,ENEMY_FACELESS_LADY_DESC,28,4,5,3,4,4,"ABILITY_FACELESS_TEETH,ABILITY_FACELESS_GRIP,ABILITY_FACELESS_INJECT",,res://assets/sprites/enemies/human/corp_deserter.png,40,human,elite,debuffer,45,48
elder_vaeron,ENEMY_ELDER_VAERON_NAME,ENEMY_ELDER_VAERON_DESC,48,6,3,5,5,3,"ABILITY_VAERON_GLITCH_STRIKE,ABILITY_VAERON_SYNAPSE_CHARGE,ABILITY_VAERON_SYNAPSE_BLAST,ABILITY_VAERON_NEURO_TICK,ABILITY_VAERON_SHIELD",,res://assets/sprites/enemies/bosses/elder_vaeron.png,80,human,boss,boss,70,60
stasis_pod_left,ENEMY_STASIS_POD_LEFT_NAME,ENEMY_STASIS_POD_LEFT_DESC,18,1,1,4,2,1,"ABILITY_POD_LEFT_HEAL,ABILITY_POD_LEFT_LARVA",stasis_pod,res://assets/sprites/enemies/bosses/stasis_pod_left.png,0,human,normal,support,10,8
stasis_pod_right,ENEMY_STASIS_POD_RIGHT_NAME,ENEMY_STASIS_POD_RIGHT_DESC,18,1,1,4,2,1,"ABILITY_POD_RIGHT_STEAL,ABILITY_POD_RIGHT_PULSE",stasis_pod,res://assets/sprites/enemies/bosses/stasis_pod_right.png,0,human,normal,support,10,8
